id;title;name;display_name;job_title;image_50x50;image_100x100;initials;url;user_id
40;Jaysen Batchelor;Jaysen;Jaysen Batchelor;Illustrator & Designer;https://img-c.udemycdn.com/user/50x50/17082766_0590_7.jpg;https://img-c.udemycdn.com/user/100x100/17082766_0590_7.jpg;JB;https://www.udemy.com/user/jaysen-batchelor/;1

41;Quinton Batchelor;Quinton;Quinton Batchelor;Photographer;https://img-c.udemycdn.com/user/50x50/32143518_ff3d_6.jpg;https://img-c.udemycdn.com/user/100x100/32143518_ff3d_6.jpg;QB;https://www.udemy.com/user/quinton-batchelor-2/;1

42;Jonas Schmedtmann;Jonas;Jonas Schmedtmann;Web Developer, Designer, and Teacher;https://img-c.udemycdn.com/user/50x50/7799204_2091_5.jpg;https://img-c.udemycdn.com/user/100x100/7799204_2091_5.jpg;JS;https://www.udemy.com/user/jonasschmedtmann/;1

45;Maven Analytics;Maven;Maven Analytics;Award-Winning Data Analytics Training;https://img-c.udemycdn.com/user/50x50/75004102_f8b0_2.jpg;https://img-c.udemycdn.com/user/100x100/75004102_f8b0_2.jpg;MA;https://www.udemy.com/user/maven-analytics/;1

46;Chris Dutton;Chris;Chris Dutton;Founder, Maven Analytics;https://img-c.udemycdn.com/user/50x50/12951804_29ef_4.jpg;https://img-c.udemycdn.com/user/100x100/12951804_29ef_4.jpg;CD;https://www.udemy.com/user/chrisdutton3/;1

47;Aaron Parry;Aaron;Aaron Parry;Professional Business Intelligence Trainer & Consultant;https://img-c.udemycdn.com/user/50x50/20344064_f4b0_4.jpg;https://img-c.udemycdn.com/user/100x100/20344064_f4b0_4.jpg;AP;https://www.udemy.com/user/aaron-parry/;1

54;GameDev.tv Team;GameDev.tv;GameDev.tv Team;Learn to Make and Sell Games;https://img-b.udemycdn.com/user/50x50/33027212_4271_10.jpg;https://img-b.udemycdn.com/user/100x100/33027212_4271_10.jpg;GT;https://www.udemy.com/user/gamedevtv/;1

55;Rick Davidson;Rick;Rick Davidson;Helped More Than 1 Million Students To Create & Grow;https://img-b.udemycdn.com/user/50x50/24317920_c8a2_2.jpg;https://img-b.udemycdn.com/user/100x100/24317920_c8a2_2.jpg;RD;https://www.udemy.com/user/rick-davidson-5/;1

56;Gary Pettie;Gary;Gary Pettie;Indie Game Developer :: GameDev.tv Tutor;https://img-b.udemycdn.com/user/50x50/27472388_3ae9_3.jpg;https://img-b.udemycdn.com/user/100x100/27472388_3ae9_3.jpg;GP;https://www.udemy.com/user/gary-pettie/;1

57;Al Sweigart;Al;Al Sweigart;Software developer, tech book author;https://img-b.udemycdn.com/user/50x50/13922584_4ff5_3.jpg;https://img-b.udemycdn.com/user/100x100/13922584_4ff5_3.jpg;AS;https://www.udemy.com/user/al-sweigart/;1

62;Kirill Eremenko;Kirill;Kirill Eremenko;Data Scientist;https://img-b.udemycdn.com/user/50x50/2364054_83cd_5.jpg;https://img-b.udemycdn.com/user/100x100/2364054_83cd_5.jpg;KE;https://www.udemy.com/user/kirilleremenko/;1

63;SuperDataScience Team;SuperDataScience;SuperDataScience Team;Helping Data Scientists Succeed;https://img-b.udemycdn.com/user/50x50/27129696_acc1_4.jpg;https://img-b.udemycdn.com/user/100x100/27129696_acc1_4.jpg;ST;https://www.udemy.com/user/superdatascience-team/;1

64;Ligency Team;Ligency;Ligency Team;Helping Data Scientists Succeed;https://img-b.udemycdn.com/user/50x50/150405524_94b0_4.jpg;https://img-b.udemycdn.com/user/100x100/150405524_94b0_4.jpg;LT;https://www.udemy.com/user/ligency-team/;1

